,sr,miu,irstp,Total Aggregated Utility,Utility 2035,Utility 2055,Utility 2075
0,0.18852550401962587,2191.837626445949,0.0010000362231065297,17872.404807511804,3411.1901687443424,6036.672561752406,8010.072114485056
1,0.1913927508024247,2194.6879869980426,0.0010000019001224901,17875.320487676432,3409.0511669526118,6035.695576958238,8010.3299759344945
2,0.1990749180484483,2184.4516095154936,0.0010000732967597376,17887.076732254423,3402.9483460605156,6032.297392730683,8010.144237028031
3,0.14691383215293569,2150.566576117564,0.0010000056219581037,17812.508542470307,3441.142017956243,6047.033091479517,7998.685599402591
4,0.16024368647253873,2171.956828039173,0.0010000087904591907,17833.080069622374,3432.009107271366,6045.015025083477,8004.508461504476
5,0.20348322849670278,2136.993520277723,0.0010000347041286958,17910.086689821288,3398.080060485789,6027.376096599757,8006.715584321683
6,0.17421066861122245,2130.2235072892786,0.0010000058125487338,17872.350004869168,3420.0898236158955,6037.465185569777,8003.750283909167
7,0.1745645520569627,2138.5260638912346,0.0010000068799308358,17871.42180074466,3420.2395168858293,6038.326937091198,8005.023822103809
8,0.1871760643853509,2139.933131262388,0.001000004724201533,17890.208611227044,3410.763431008875,6034.121299750668,8006.7694706034235
9,0.17721147563309514,2147.470621001212,0.0010000000220196253,17873.511866086097,3418.6210898014606,6038.301596043232,8006.44913905841
10,0.1988275377337657,2127.150155375837,0.0010000035964352215,17907.06163829662,3401.1687154838933,6028.078329271015,8005.286105676118
11,0.16535444508982633,2148.4397578611884,0.0010000006704238098,17853.13850570888,3427.5241834135895,6042.082587611107,8004.228813685589
12,0.20598792203639463,2187.7347109072452,0.001000004037843301,17893.191880882063,3397.6563441965327,6029.5457594838945,8010.070793939966
13,0.23482306032804168,2104.7719794221507,0.0010000000776430413,17939.15190397586,3370.9743869163526,6006.712235072842,7994.490017340531
14,0.18054504624878154,2146.8472793487135,0.001000000032217266,17879.351575047,3416.0818706928485,6037.121266514185,8006.850386489365
15,0.17968132855074992,2259.5473726896685,0.0010000000889357973,17842.47369945737,3418.697154366462,6041.158884115145,8010.045523918685
16,0.11995735624831137,2141.7058884847092,0.0010000000104787219,17733.071065012125,3460.050810986295,6051.069916586596,7984.4311870131805
17,0.1407994666031219,2216.595760924531,0.0010000373802243332,17774.535323477812,3446.961395839627,6051.120346377884,7998.858062589987
18,0.15562440839970804,2192.647547127374,0.0010000000480734812,17816.300776770287,3435.832175302462,6047.067419349847,8003.907363401318
19,0.19828043944794677,2143.8618945739454,0.0010000005680738608,17903.250170597028,3402.4135854555275,6030.222242167836,8007.651746382175
20,0.22327524353744563,2135.2504211791315,0.0010000008597254102,17927.14621003417,3382.4515767001267,6018.1971793082075,8004.433982341036
21,0.12286363905358169,2240.2309917003618,0.001000007311598168,17715.352501264573,3460.001494724632,6054.6513809945045,7990.054767581974
22,0.1452965484956574,2276.524807012179,0.0010000000076884144,17772.629012444137,3444.2545631196826,6051.01481239296,8001.141278693801
23,0.18441241596862176,2239.029459341631,0.001000000433733858,17853.82836705688,3414.938962251217,6039.239923970761,8010.475617871396
24,0.12333956630263795,2290.72200278629,0.0010000000019824485,17706.827656080288,3460.0341232710366,6055.1254672101795,7990.518124285381
25,0.23482306032804168,2126.3576224118347,0.0010000000291677514,17935.465251267608,3372.731193434184,6011.199927435522,8000.579813662037
26,0.16082116735055824,2157.5423205397415,0.0010000004438364945,17839.147588274533,3431.189702381045,6044.040364995408,8003.818078666255
27,0.13438878696300732,2174.1112474454517,0.0010000056219581037,17769.344825785334,3450.841797403923,6051.017495744798,7994.776937553891
28,0.18531376424017668,2199.394186244687,0.001000019251843582,17866.04040379709,3413.7643069876417,6038.083898410434,8010.015235893184
29,0.2021335336785022,2140.649991063148,0.0010000039153730737,17908.048495399864,3399.2966284966456,6028.332618345466,8007.234345799852
30,0.19599245240363913,2183.332777683839,0.0010000021029259675,17884.30447300902,3405.3105349874004,6033.514243551298,8010.135097313302
31,0.13473597848535773,2157.478955788909,0.0010000021990680358,17776.2499640329,3450.1480692666846,6050.028992789119,7993.974110240204
32,0.19969944559467362,2125.458932596563,0.0010000098550825072,17908.332144659857,3400.3919222107447,6027.473150596909,8004.957403576385
33,0.2245836108140188,2118.2324838973923,0.0010000002317571647,17931.19730609938,3380.381161080175,6015.059818192645,8001.005290269341
34,0.1344392441153344,2151.215845431496,0.0010000046066477937,17778.659618993788,3450.153873174318,6049.634804909611,7993.325408865071
35,0.21198060213121261,2114.478494224024,0.0010000094987707912,17922.292888990047,3390.044742459476,6020.246718915044,8001.721975539304
