,epsilon_progress,nfe
0,0,0
1,5,100
2,15,1153
3,22,2214
4,25,3282
5,26,4342
6,26,5392
7,26,6452
8,26,7516
9,26,8582
10,27,9638
11,27,10693
12,27,11743
13,27,12800
14,27,13855
15,27,14904
16,27,15945
17,27,17009
18,27,18058
19,27,19110
