,epsilon_progress,nfe
0,0,0
1,13,100
2,108,1159
3,272,2213
4,344,3280
5,392,4341
6,429,5399
7,455,6459
8,476,7506
9,495,8565
10,512,9622
11,544,10735
12,588,11936
13,607,13144
14,621,14338
15,636,15554
16,641,16756
17,650,17948
18,662,19152
19,669,20357
20,676,21565
21,684,22781
22,689,23980
23,692,25189
24,706,26387
25,712,27597
26,716,28807
