,sr,miu,irstp,Total Aggregated Utility,Utility 2035,Utility 2055,Utility 2075
0,0.18832368255587387,2266.3999151900516,0.0010005119399319302,17851.292108632813,3412.135887348458,6038.001204430795,8010.634958984837
1,0.11964771923355699,2278.5694676360276,0.0010006454312227128,17694.19061552022,3462.49164256222,6055.330632247673,7987.9505457468895
2,0.11881091473595375,2128.010562575575,0.0010002129691429463,17730.511396618615,3460.1563385503746,6049.551827398254,7981.587820696583
3,0.13448663705548325,2171.8987749167854,0.001000391982093903,17768.98712048168,3450.679720845925,6050.777746606071,7994.503468216298
4,0.12921456942488244,2222.7600830593346,0.0010013635230951264,17735.791838431123,3455.1861704863845,6052.980321611516,7992.646874445889
5,0.23213417539508238,2199.533870849502,0.0010011233170462003,17904.52729444459,3377.077287590809,6017.209854598478,8005.981649208292
6,0.14777325244535564,2141.0641732776357,0.0010000471944185772,17816.24212966304,3440.1421966476164,6045.990670965782,7998.007968393238
7,0.1937783215936538,2125.3324353627963,0.0010002761380779799,17900.668881885675,3404.9202050184226,6029.735683537055,8004.7180876215425
8,0.1047254241552531,2260.4811481211473,0.0010005782889319806,17639.276654541474,3472.7474145327174,6056.674772044766,7977.8445617086945
9,0.1049515867551217,2132.1349155855883,0.0010000064523877114,17674.215504804302,3470.038082306269,6051.5340192108415,7972.949374727358
10,0.1639654081246279,2286.8795898588023,0.001000961617294958,17808.075087172903,3430.5385620446914,6046.063569335621,8006.595779486421
11,0.1367979059435719,2209.3580536842014,0.0010014977573491737,17760.98135146129,3449.5919549885175,6051.306656858998,7996.132003379476
12,0.16358947080239736,2135.0475649148734,0.0010003925437715576,17851.06713496229,3428.2215554620193,6041.169286723666,8002.010859553113
