,sr,miu,irstp,Total Aggregated Utility,Utility 2035,Utility 2055,Utility 2075
0,0.14777325244535564,2141.0641732776357,0.0010000471944185772,17816.24212966304,3440.1421966476164,6045.990670965782,7998.007968393238
1,0.12934668973249022,2219.6636616335136,0.0010004813524679807,17739.546396921825,3455.147230397123,6053.163890237622,7993.169251256217
2,0.15749151682604484,2293.5303972560464,0.0010002086167179463,17796.482700342065,3435.432869295006,6048.126361647374,8005.256520329846
3,0.1478896073791641,2237.866576662545,0.0010000870791968541,17786.528592227656,3442.0588094732384,6049.946714470477,8001.917214053454
4,0.1844177074758283,2295.7457299472258,0.001000961617294958,17839.19256311436,3415.2450267529534,6039.53629540185,8010.096134990143
5,0.17213633817114457,2153.2439055353184,0.0010003925538035643,17861.15006688085,3422.597476588347,6040.279103371151,8005.882047524696
6,0.13448663705548325,2197.990762914448,0.001000391982093903,17760.573116446507,3451.1924517824136,6051.769029660839,7995.41740798723
7,0.11562562118018826,2268.875034053396,0.0010006819178370598,17681.104064905976,3465.2392333873313,6055.715592742014,7985.383741160793
8,0.10831026833253282,2263.076500813251,0.0010001107220626482,17655.61908325725,3470.34124948387,6056.559497350854,7980.7237222805325
9,0.101583030545948,2295.0882502724335,0.0010001812151984488,17619.723620033958,3475.168839623562,6057.316551422318,7975.761152525141
10,0.1528887254039308,2147.171083981694,0.0010001533176501297,17826.90239576751,3436.6479542136262,6045.294359656881,8000.434865466097
11,0.19312894076607018,2120.6228221017664,0.0010002761380779799,17900.65867236135,3405.109714808121,6029.225680157277,8003.696767409789
12,0.16213083545126472,2187.294575019788,0.0010001739987096237,17830.816767226996,3430.924435042815,6045.0818375486115,8005.527922367565
13,0.16621573505918458,2134.7110407694545,0.0010000668147709733,17857.156861213756,3426.2892609895807,6040.467041208287,8002.7847232824915
14,0.18973010504001028,2218.58218632338,0.0010000041426911092,17865.924356642532,3410.6665514704855,6036.9304270279645,8010.683313112869
15,0.20566009058887827,2145.961523137033,0.0010003250973696079,17907.96155646727,3396.7430549428727,6027.2388606098175,8007.49362174676
16,0.11960648078886253,2153.317161894803,0.0010001853672909388,17729.238642777447,3460.7154775020344,6052.0388014083055,7985.268054541623
