,sr,miu,irstp,Total Aggregated Utility,Utility 2035,Utility 2055,Utility 2075
0,0.10477897204312062,2248.120682977141,0.0010009802944203991,17640.62884344031,3472.569381148971,6056.398551821468,7977.595758892367
1,0.15565407332526596,2187.9432772408804,0.001000256188959586,17817.03664320566,3435.6994266413526,6046.823265036407,8003.635729740969
2,0.12189302056034733,2248.120682977141,0.001000744819238204,17708.22045778965,3460.6793497110198,6054.673390084325,7989.127824254605
3,0.11187676646698726,2247.944069693799,0.0010006264629013558,17671.494583650496,3467.6947474476265,6055.890549630855,7982.839369045763
4,0.13631028057161257,2238.668592730189,0.0010000822054711993,17757.113542249695,3450.423792131053,6052.390210471624,7997.055045597273
5,0.1606303415705155,2260.0042717316583,0.0010009802944203991,17806.790416504882,3432.8240883134176,6046.743692854664,8005.660993350961
6,0.12778684861838074,2248.120682977141,0.001000744819238204,17727.69677460277,3456.516132589769,6053.804269629201,7992.4568182603725
7,0.20045802613903813,2276.692767615676,0.0010002631026046352,17863.691666426344,3402.90859569061,6033.427532013856,8011.092137672766
8,0.10430480335269957,2166.5862294666717,0.001000977174405236,17659.957664391623,3471.662784798486,6054.162207286249,7975.3371957981235
9,0.20281951957446107,2107.21555365223,0.0010007716599610686,17912.313209047734,3396.4557543359538,6022.279907908394,7999.48101194374
10,0.11886124751102438,2248.3210541285857,0.001000835899577471,17697.234516222252,3462.8011830256255,6055.045926996979,7987.248513900037
11,0.16065741941286635,2092.254058530081,0.0010001596775563416,17851.848430561993,3426.537095488523,6031.837806515409,7986.917244809519
12,0.21305783520694363,2169.2329586751907,0.001000009473116583,17905.835175444758,3391.7238582915643,6025.631869370798,8008.776924777626
13,0.1826140844098399,2226.9383150025596,0.0010005841463135922,17852.53825411306,3416.1192724394964,6039.501878956927,8009.859117613878
14,0.14682984925935735,2125.9462054809246,0.0010002631056897128,17815.88378210523,3440.032010973525,6044.308223527881,7995.217401346442
15,0.17169699614022846,2118.0008901995257,0.00100047444133864,17868.699386012424,3421.143805061605,6036.1991520285565,8000.502417461221
16,0.1464805293315485,2238.976491129595,0.0010009802944203991,17780.20619877893,3443.000581301641,6050.014900816835,8000.891344915563
