,sr,miu,irstp,Total Aggregated Utility,Utility 2035,Utility 2055,Utility 2075
0,0.2102067789522136,2126.6941774331212,0.0010026356509342496,17910.6388189798,3392.024950234662,6022.385153870504,8003.236613983476
1,0.11883854694376263,2279.0175884457676,0.0010009465381172786,17690.33216900312,3463.0307570176988,6055.34622413031,7987.287135638052
2,0.15071268558981574,2136.9448745399527,0.0010007068805898119,17822.062058146417,3437.7482719053387,6044.672543064033,7998.190858443677
3,0.11201722195275687,2137.79735044055,0.0010009637506501311,17700.521042561228,3465.3261469402823,6051.289020734549,7978.281017576777
4,0.12512255892754853,2281.380322756517,0.0010023781659366713,17707.196251914393,3458.4742539483004,6054.072477694713,7990.1936670725645
5,0.11914796153982815,2186.151550471063,0.001000219419340148,17715.405016305027,3461.865840200752,6053.801957009136,7986.752437059933
6,0.1637037102723789,2185.8692940892197,0.001000884884907609,17832.12842961435,3429.6598975712946,6044.370081713969,8005.488631214368
7,0.19047502399195765,2270.768632749608,0.0010007220116060624,17852.421508706495,3410.5017077309813,6037.175797648653,8010.656230055063
8,0.14874826384832976,2263.208912857499,0.0010028752781934514,17774.85059607914,3441.360328426321,6049.230252360084,8000.811539128445
9,0.14198959224733446,2278.9005338328666,0.0010011935534335866,17760.293404600437,3446.537461744077,6051.387509307686,7999.129959573208
10,0.11365176427944411,2278.1389382568946,0.001001907070433421,17668.314145726046,3466.5496206934986,6055.649001452734,7983.432138859572
11,0.10759432673614201,2268.623832444916,0.0010005787463461626,17649.422005574146,3470.827122694186,6056.536418754666,7979.97032457762
